dice,spare_ad,spare_ad_class,reg_method
0.740669964,-2.76238,bottom_25,ANTs
0.809744251,0.189799,middle,ANTs
0.690950988,0.014138,middle,ANTs
0.730434783,1.41395,top_25,ANTs
0.781583125,-0.606506,middle,ANTs
0.805320814,-0.468085,middle,ANTs
0.828757773,-1.23477,middle,ANTs
0.682694007,2.74834,top_25,ANTs
0.751582402,-1.06042,middle,ANTs
0.701126761,-2.53679,bottom_25,ANTs
0.600323102,3.31018,top_25,ANTs
0.706644815,-0.535046,middle,ANTs
0.776234029,-4.06362,bottom_25,ANTs
0.78818325,-2.35355,bottom_25,ANTs
0.608726804,1.59876,top_25,ANTs
0.818241422,-4.08401,bottom_25,ANTs
0.810610493,-2.13977,bottom_25,ANTs
0.498220641,3.095,top_25,ANTs
0.763871537,1.30117,middle,ANTs
0.69975343,-0.903986,middle,ANTs
0.715093273,-1.15049,middle,ANTs
0.797298467,0.175606,middle,ANTs
0.728632084,2.74098,top_25,ANTs
0.747790619,-1.80156,bottom_25,ANTs
0.728885075,-2.59419,bottom_25,ANTs
0.758333921,-1.83736,bottom_25,ANTs
0.644766147,1.46021,top_25,ANTs
0.782409397,1.30812,middle,ANTs
0.611204347,3.48883,top_25,ANTs
0.686344521,-0.747925,middle,ANTs
0.563019443,0.588939,middle,ANTs
0.752710027,-0.705376,middle,ANTs
0.806094183,-2.13749,bottom_25,ANTs
0.806324676,-0.71876,middle,ANTs
0.716843026,-1.12009,middle,ANTs
0.765305405,-2.62105,bottom_25,ANTs
0.517937391,1.34055,middle,ANTs
0.662852034,-0.37809,middle,ANTs
0.717758121,-1.08747,middle,ANTs
0.683204555,-0.617904,middle,ANTs
0.738898215,1.47818,top_25,ANTs
0.736910044,-1.89548,bottom_25,ANTs
0.715934276,0.283866,middle,ANTs
0.803716091,-2.08572,bottom_25,ANTs
0.798207202,-4.57946,bottom_25,ANTs
0.798691158,-1.36208,middle,ANTs
0.598265074,1.31901,middle,ANTs
0.783271587,-0.481915,middle,ANTs
0.698634035,1.72904,top_25,ANTs
0.811061884,-2.77713,bottom_25,ANTs
0.810451306,-0.104353,middle,ANTs
0.677876324,-2.27595,bottom_25,ANTs
0.785594506,-1.48105,bottom_25,ANTs
0.569207071,1.94476,top_25,ANTs
0.844826419,-3.0114,bottom_25,ANTs
0.556106052,-0.146844,middle,ANTs
0.668455861,2.52985,top_25,ANTs
0.776588445,-3.0007,bottom_25,ANTs
0.74843472,-0.950195,middle,ANTs
0.585365854,3.39273,top_25,ANTs
0.473445798,1.39954,top_25,ANTs
0.601113885,-1.22817,middle,ANTs
0.636867381,1.64239,top_25,ANTs
0.610629217,2.25777,top_25,ANTs
0.674472089,1.40146,top_25,ANTs
0.692871287,1.38495,middle,ANTs
0.50635701,2.76476,top_25,ANTs
0.734990138,0.167746,middle,ANTs
0.774383314,-2.15183,bottom_25,ANTs
0.666666667,2.23205,top_25,ANTs
0.65824118,1.498,top_25,ANTs
0.755132877,-1.83388,bottom_25,ANTs
0.60551264,-0.004844,middle,ANTs
0.765756077,-2.54749,bottom_25,ANTs
0.814772968,-2.23802,bottom_25,ANTs
0.596369255,0.608443,middle,ANTs
0.765664052,-1.62672,bottom_25,ANTs
0.590601314,2.44524,top_25,ANTs
0.777630416,0.268137,middle,ANTs
0.841469388,-0.504224,middle,ANTs
0.426250398,0.486159,middle,ANTs
0.64690578,0.071468,middle,ANTs
0.753187441,-0.355838,middle,ANTs
0.809052092,-0.131768,middle,ANTs
0.517012314,0.50417,middle,ANTs
